Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-10-10,340939,10312,330627,0,0,0,8046
2020-10-11,344893,10348,334545,3954,36,3918,8928
2020-10-12,351165,10409,340756,6272,61,6211,7583
2020-10-13,357949,10475,347474,6784,66,6718,7056
2020-10-14,365816,10537,355279,7867,62,7805,10699
2020-10-15,373862,10634,363228,8046,97,7949,12245
2020-10-16,382790,10730,372060,8928,96,8832,13976
2020-10-17,390373,10813,379560,7583,83,7500,14143
2020-10-18,397429,10895,386534,7056,82,6974,15136
2020-10-19,408128,11014,397114,10699,119,10580,12973
2020-10-20,420373,11163,409210,12245,149,12096,11431
2020-10-21,434349,11332,423017,13976,169,13807,16446
2020-10-22,448492,11568,436924,14143,236,13907,17183
2020-10-23,463628,11782,451846,15136,214,14922,18603
2020-10-24,476601,11934,464667,12973,152,12821,17793
2020-10-25,488032,12093,475939,11431,159,11272,18474
2020-10-26,504478,12336,492142,16446,243,16203,14443
2020-10-27,521661,12575,509086,17183,239,16944,13576
2020-10-28,540264,12841,527423,18603,266,18337,19456
2020-10-29,558057,13109,544948,17793,268,17525,19178
2020-10-30,576531,13375,563156,18474,266,18208,19430
2020-10-31,590974,13582,577392,14443,207,14236,19118
2020-11-01,604550,13806,590744,13576,224,13352,19152
2020-11-02,624006,14156,609850,19456,350,19106,15792
2020-11-03,643184,14457,628727,19178,301,18877,12382
2020-11-04,662614,14742,647872,19430,285,19145,18809
2020-11-05,681732,15054,666678,19118,312,18806,19131
2020-11-06,700884,15341,685543,19152,287,18865,20412
2020-11-07,716676,15568,701108,15792,227,15565,20250
2020-11-08,729058,15784,713274,12382,216,12166,20210
2020-11-09,747867,16163,731704,18809,379,18430,15823
2020-11-10,766998,16549,750449,19131,386,18745,12216
2020-11-11,787410,16959,770451,20412,410,20002,18633
2020-11-12,807660,17405,790255,20250,446,19804,19324
2020-11-13,827870,17870,810000,20210,465,19745,20692
2020-11-14,843693,18213,825480,15823,343,15480,20356
2020-11-15,855909,18506,837403,12216,293,11923,20053
2020-11-16,874542,18965,855577,18633,459,18174,14500
2020-11-17,893866,19462,874404,19324,497,18827,11448
2020-11-18,914558,19982,894576,20692,520,20172,17921
2020-11-19,934914,20532,914382,20356,550,19806,18126
2020-11-20,954967,21048,933919,20053,516,19537,19647
2020-11-21,969467,21397,948070,14500,349,14151,19409
2020-11-22,980915,21713,959202,11448,316,11132,19049
2020-11-23,998836,22226,976610,17921,513,17408,15658
2020-11-24,1016962,22740,994222,18126,514,17612,11718
2020-11-25,1036609,23325,1013284,19647,585,19062,18160
2020-11-26,1056018,23934,1032084,19409,609,18800,19790
2020-11-27,1075067,24552,1050515,19049,618,18431,21478
2020-11-28,1090725,25013,1065712,15658,461,15197,23038
2020-11-29,1102443,25378,1077065,11718,365,11353,22427
2020-11-30,1120603,25988,1094615,18160,610,17550,18324
2020-12-01,1140393,26681,1113712,19790,693,19097,15237
2020-12-02,1161871,27417,1134454,21478,736,20742,22535
2020-12-03,1184909,28248,1156661,23038,831,22207,24410
2020-12-04,1207336,29036,1178300,22427,788,21639,25754
2020-12-05,1225660,29591,1196069,18324,555,17769,26854
2020-12-06,1240897,30081,1210816,15237,490,14747,26188
2020-12-07,1263432,30874,1232558,22535,793,21742,22089
2020-12-08,1287842,31762,1256080,24410,888,23522,17022
2020-12-09,1313596,32604,1280992,25754,842,24912,24880
2020-12-10,1340450,33670,1306780,26854,1066,25788,26149
2020-12-11,1366638,34628,1332010,26188,958,25230,28136
2020-12-12,1388727,35428,1353299,22089,800,21289,27618
2020-12-13,1405749,36034,1369715,17022,606,16416,26778
2020-12-14,1430629,36986,1393643,24880,952,23928,21082
2020-12-15,1456778,38034,1418744,26149,1048,25101,17243
2020-12-16,1484914,39097,1445817,28136,1063,27073,22656
2020-12-17,1512532,40193,1472339,27618,1096,26522,24434
2020-12-18,1539310,41196,1498114,26778,1003,25775,26601
2020-12-19,1560392,41957,1518435,21082,761,20321,19463
2020-12-20,1577635,42644,1534991,17243,687,16556,14540
2020-12-21,1600291,43636,1556655,22656,992,21664,15193
2020-12-22,1624725,44696,1580029,24434,1060,23374,14587
2020-12-23,1651326,45834,1605492,26601,1138,25463,20616
2020-12-24,1670789,46605,1624184,19463,771,18692,22397
2020-12-25,1685329,47210,1638119,14540,605,13935,23454
2020-12-26,1700522,47868,1652654,15193,658,14535,17105
2020-12-27,1715109,48442,1666667,14587,574,14013,13417
2020-12-28,1735725,49413,1686312,20616,971,19645,14458
2020-12-29,1758122,50519,1707603,22397,1106,21291,14131
2020-12-30,1781576,51647,1729929,23454,1128,22326,19348
2020-12-31,1798681,52359,1746322,17105,712,16393,21862
2021-01-01,1812098,52872,1759226,13417,513,12904,21225
2021-01-02,1826556,53466,1773090,14458,594,13864,20128
2021-01-03,1840687,54011,1786676,14131,545,13586,20216
2021-01-04,1860035,54809,1805226,19348,798,18550,15147
2021-01-05,1881897,55759,1826138,21862,950,20912,11590
2021-01-06,1903122,56635,1846487,21225,876,20349,16311
2021-01-07,1923250,57506,1865744,20128,871,19257,18380
2021-01-08,1943466,58344,1885122,20216,838,19378,19102
2021-01-09,1958613,58898,1899715,15147,554,14593,16995
