,Date,Confirmed,Deaths,Recovered
0,1/1/2020,20,0,20
1,1/2/2020,38,0,38
2,1/3/2020,59,1,58
3,1/4/2020,84,2,82
4,1/5/2020,106,2,104
5,1/6/2020,118,2,116
6,1/7/2020,129,2,127
7,1/8/2020,136,2,134
8,1/9/2020,144,2,142
9,1/10/2020,149,3,146
10,1/11/2020,157,3,154
11,1/12/2020,167,3,164
12,1/13/2020,175,3,172
13,1/14/2020,182,3,179
14,1/15/2020,190,3,187
15,1/16/2020,198,3,195
16,1/17/2020,205,4,201
17,1/18/2020,209,4,205
18,1/19/2020,218,4,214
19,1/20/2020,234,4,230
20,1/21/2020,239,4,235
21,1/22/2020,252,4,248
22,1/23/2020,258,4,254
23,1/24/2020,268,5,263
24,1/25/2020,274,5,269
25,1/26/2020,280,5,275
26,1/27/2020,294,5,289
27,1/28/2020,304,5,299
28,1/29/2020,317,5,312
29,1/30/2020,331,6,325
30,1/31/2020,348,6,342
31,2/1/2020,359,6,353
32,2/2/2020,373,6,367
33,2/3/2020,379,7,372
34,2/4/2020,384,7,377
35,2/5/2020,391,8,383
36,2/6/2020,393,8,385
37,2/7/2020,398,8,390
38,2/8/2020,401,8,393
39,2/9/2020,408,8,400
40,2/10/2020,424,8,416
41,2/11/2020,438,8,430
42,2/12/2020,446,8,438
43,2/13/2020,450,8,442
44,2/14/2020,459,9,450
45,2/15/2020,477,9,468
46,2/16/2020,492,9,483
47,2/17/2020,505,9,496
48,2/18/2020,522,10,512
49,2/19/2020,536,11,525
50,2/20/2020,569,14,555
51,2/21/2020,588,14,574
52,2/22/2020,617,14,603
53,2/23/2020,661,15,646
54,2/24/2020,731,15,716
55,2/25/2020,841,17,824
56,2/26/2020,1003,25,978
57,2/27/2020,1164,27,1137
58,2/28/2020,1386,31,1355
59,2/29/2020,1577,33,1544
60,3/1/2020,1813,37,1776
61,3/2/2020,2112,47,2065
62,3/3/2020,2424,58,2366
63,3/4/2020,2841,68,2773
64,3/5/2020,3297,77,3220
65,3/6/2020,3976,96,3880
66,3/7/2020,4796,118,4678
67,3/8/2020,5910,140,5770
68,3/9/2020,7690,166,7524
69,3/10/2020,9960,201,9759
70,3/11/2020,12800,249,12551
71,3/12/2020,15960,309,15651
72,3/13/2020,19885,388,19497
73,3/14/2020,23794,449,23345
