,Date,Confirmed,Deaths,Recovered
0,2020-01-01,20,0,20
1,2020-01-02,38,0,38
2,2020-01-03,59,1,58
3,2020-01-04,84,2,82
4,2020-01-05,106,2,104
5,2020-01-06,118,2,116
6,2020-01-07,129,2,127
7,2020-01-08,136,2,134
8,2020-01-09,144,2,142
9,2020-01-10,149,3,146
10,2020-01-11,157,3,154
11,2020-01-12,167,3,164
12,2020-01-13,175,3,172
13,2020-01-14,182,3,179
14,2020-01-15,190,3,187
15,2020-01-16,198,3,195
16,2020-01-17,205,4,201
17,2020-01-18,209,4,205
18,2020-01-19,218,4,214
19,2020-01-20,234,4,230
20,2020-01-21,239,4,235
21,2020-01-22,252,4,248
22,2020-01-23,258,4,254
23,2020-01-24,268,5,263
24,2020-01-25,274,5,269
25,2020-01-26,280,5,275
26,2020-01-27,294,5,289
27,2020-01-28,304,5,299
28,2020-01-29,317,5,312
29,2020-01-30,331,6,325
30,2020-01-31,348,6,342
31,2020-02-01,359,6,353
32,2020-02-02,373,6,367
33,2020-02-03,379,7,372
34,2020-02-04,384,7,377
35,2020-02-05,391,8,383
36,2020-02-06,393,8,385
37,2020-02-07,398,8,390
38,2020-02-08,401,8,393
39,2020-02-09,408,8,400
40,2020-02-10,424,8,416
41,2020-02-11,438,8,430
42,2020-02-12,446,8,438
43,2020-02-13,450,8,442
44,2020-02-14,459,9,450
45,2020-02-15,477,9,468
46,2020-02-16,492,9,483
47,2020-02-17,505,9,496
48,2020-02-18,522,10,512
49,2020-02-19,536,11,525
50,2020-02-20,569,14,555
51,2020-02-21,588,14,574
52,2020-02-22,617,14,603
53,2020-02-23,661,15,646
54,2020-02-24,731,15,716
55,2020-02-25,841,17,824
56,2020-02-26,1003,25,978
57,2020-02-27,1164,27,1137
58,2020-02-28,1386,31,1355
59,2020-02-29,1577,33,1544
60,2020-03-01,1813,37,1776
61,2020-03-02,2112,47,2065
62,2020-03-03,2424,58,2366
63,2020-03-04,2841,68,2773
64,2020-03-05,3297,77,3220
65,2020-03-06,3976,96,3880
66,2020-03-07,4796,118,4678
67,2020-03-08,5910,140,5770
68,2020-03-09,7690,166,7524
69,2020-03-10,9960,201,9759
70,2020-03-11,12800,249,12551
71,2020-03-12,15960,309,15651
72,2020-03-13,19885,388,19497
73,2020-03-14,23794,449,23345
74,2020-03-15,27851,546,27305
75,2020-03-16,33347,683,32664
76,2020-03-17,38292,811,37481
77,2020-03-18,43442,956,42486
78,2020-03-19,48038,1084,46954
79,2020-03-20,53244,1281,51963
80,2020-03-21,57482,1425,56057
81,2020-03-22,60902,1554,59348
82,2020-03-23,65862,1811,64051
83,2020-03-24,69910,2024,67886
84,2020-03-25,74477,2282,72195
85,2020-03-26,78740,2511,76229
86,2020-03-27,83180,2769,80411
87,2020-03-28,87132,3034,84098
88,2020-03-29,90159,3211,86948
89,2020-03-30,94521,3526,90995
90,2020-03-31,98486,3794,94692
91,2020-04-01,102942,4105,98837
92,2020-04-02,107177,4433,102744
93,2020-04-03,111545,4776,106769
94,2020-04-04,114808,5010,109798
95,2020-04-05,117454,5212,112242
96,2020-04-06,120961,5510,115451
97,2020-04-07,124407,5772,118635
98,2020-04-08,127866,6047,121819
99,2020-04-09,131154,6300,124854
100,2020-04-10,133722,6500,127222
101,2020-04-11,136045,6668,129377
102,2020-04-12,137952,6825,131127
103,2020-04-13,139738,6953,132785
104,2020-04-14,141798,7108,134690
105,2020-04-15,144034,7271,136763
106,2020-04-16,146181,7400,138781
107,2020-04-17,148368,7529,140839
108,2020-04-18,150027,7629,142398
109,2020-04-19,151330,7731,143599
110,2020-04-20,152955,7854,145101
111,2020-04-21,154468,7955,146513
112,2020-04-22,156177,8049,148128
113,2020-04-23,157746,8149,149597
114,2020-04-24,159200,8217,150983
115,2020-04-25,160328,8278,152050
116,2020-04-26,161122,8314,152808
117,2020-04-27,162293,8380,153913
118,2020-04-28,163372,8445,154927
119,2020-04-29,164464,8506,155958
120,2020-04-30,165600,8565,157035
121,2020-05-01,166468,8602,157866
122,2020-05-02,167160,8626,158534
123,2020-05-03,167753,8650,159103
124,2020-05-04,168585,8693,159892
125,2020-05-05,169481,8731,160750
126,2020-05-06,170396,8757,161639
127,2020-05-07,171242,8793,162449
128,2020-05-08,172047,8827,163220
129,2020-05-09,172654,8834,163820
130,2020-05-10,173101,8859,164242
131,2020-05-11,173783,8881,164902
132,2020-05-12,174422,8898,165524
133,2020-05-13,175130,8924,166206
134,2020-05-14,175761,8940,166821
135,2020-05-15,176500,8970,167530
136,2020-05-16,177009,8993,168016
137,2020-05-17,177403,9006,168397
138,2020-05-18,178026,9018,169008
139,2020-05-19,178557,9030,169527
140,2020-05-20,179264,9060,170204
141,2020-05-21,179671,9066,170605
142,2020-05-22,180107,9078,171029
143,2020-05-23,180461,9088,171373
144,2020-05-24,180754,9094,171660
145,2020-05-25,181209,9103,172106
146,2020-05-26,181771,9117,172654
147,2020-05-27,182303,9130,173173
148,2020-05-28,182739,9139,173600
149,2020-05-29,183120,9143,173977
150,2020-05-30,183469,9147,174322
151,2020-05-31,183685,9154,174531
152,2020-06-01,183924,9160,174764
153,2020-06-02,184267,9166,175101
154,2020-06-03,184731,9171,175560
155,2020-06-04,185171,9175,175996
156,2020-06-05,185548,9181,176367
157,2020-06-06,185825,9187,176638
158,2020-06-07,186011,9192,176819
159,2020-06-08,186391,9195,177196
160,2020-06-09,186800,9200,177600
161,2020-06-10,187292,9208,178084
162,2020-06-11,187599,9211,178388
163,2020-06-12,187970,9226,178744
164,2020-06-13,188311,9229,179082
165,2020-06-14,188568,9232,179336
166,2020-06-15,188978,9236,179742
167,2020-06-16,189828,9242,180586
168,2020-06-17,190518,9248,181270
169,2020-06-18,191157,9249,181908
170,2020-06-19,191966,9254,182712
171,2020-06-20,192466,9261,183205
