Date,Total
1/1/2020,0
1/2/2020,0
1/3/2020,1
1/4/2020,1
1/5/2020,1
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,2
1/10/2020,1
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,1
1/16/2020,0
1/17/2020,1
1/18/2020,1
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,1
1/27/2020,2
1/28/2020,0
1/29/2020,0
1/30/2020,4
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,2
2/4/2020,0
2/5/2020,1
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,1
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,1
2/19/2020,1
2/20/2020,5
2/21/2020,0
2/22/2020,2
2/23/2020,2
2/24/2020,4
2/25/2020,8
2/26/2020,14
2/27/2020,10
2/28/2020,15
2/29/2020,16
3/1/2020,20
3/2/2020,30
3/3/2020,43
3/4/2020,51
3/5/2020,67
3/6/2020,86
3/7/2020,109
3/8/2020,130
3/9/2020,160
3/10/2020,195
3/11/2020,246
3/12/2020,303
3/13/2020,385
3/14/2020,446
3/15/2020,542
3/16/2020,682
3/17/2020,807
3/18/2020,951
3/19/2020,1081
3/20/2020,1272
3/21/2020,1407
3/22/2020,1534
3/23/2020,1798
3/24/2020,2005
3/25/2020,2268
3/26/2020,2497
3/27/2020,2751
3/28/2020,3009
3/29/2020,3166
3/30/2020,3495
3/31/2020,3762
4/1/2020,4078
4/2/2020,4400
4/3/2020,4699
4/4/2020,4909
4/5/2020,5111
4/6/2020,5409
4/7/2020,5662
4/8/2020,5943
4/9/2020,6190
4/10/2020,6294
4/11/2020,6369
4/12/2020,6455
4/13/2020,6578
4/14/2020,6881
4/15/2020,6970
4/16/2020,7099
4/17/2020,7100
4/18/2020,7257
4/19/2020,6810
4/20/2020,7384
4/21/2020,7407
4/22/2020,7602
4/23/2020,7547
4/24/2020,7348
4/25/2020,7234
4/26/2020,6619
4/27/2020,7026
4/28/2020,7412
4/29/2020,7368
4/30/2020,7527
5/1/2020,6702
5/2/2020,6282
5/3/2020,6274
5/4/2020,6702
5/5/2020,7051
5/6/2020,7052
5/7/2020,6910
5/8/2020,7111
5/9/2020,6263
5/10/2020,6262
5/11/2020,6458
5/12/2020,6623
5/13/2020,6448
5/14/2020,6492
5/15/2020,6624
5/16/2020,5631
5/17/2020,5219
