Date,Total
2020-01-01,20.0
2020-01-02,21.0
2020-01-03,33.0
2020-01-04,40.0
2020-01-05,47.0
2020-01-06,39.0
2020-01-07,25.0
2020-01-08,18.0
2020-01-09,21.0
2020-01-10,12.0
2020-01-11,19.0
2020-01-12,25.0
2020-01-13,25.0
2020-01-14,19.0
2020-01-15,19.0
2020-01-16,21.0
2020-01-17,19.0
2020-01-18,28.0
2020-01-19,23.0
2020-01-20,49.0
2020-01-21,22.0
2020-01-22,35.0
2020-01-23,32.0
2020-01-24,26.0
2020-01-25,26.0
2020-01-26,28.0
2020-01-27,60.0
2020-01-28,57.0
2020-01-29,71.0
2020-01-30,64.0
2020-01-31,80.0
2020-02-01,33.0
2020-02-02,76.0
2020-02-03,39.0
2020-02-04,23.0
2020-02-05,34.0
2020-02-06,10.0
2020-02-07,13.0
2020-02-08,8.0
2020-02-09,17.0
2020-02-10,48.0
2020-02-11,59.0
2020-02-12,26.0
2020-02-13,13.0
2020-02-14,31.0
2020-02-15,84.0
2020-02-16,79.0
2020-02-17,84.0
2020-02-18,60.0
2020-02-19,71.0
2020-02-20,102.0
2020-02-21,70.0
2020-02-22,111.0
2020-02-23,172.0
2020-02-24,291.0
2020-02-25,352.0
2020-02-26,505.0
2020-02-27,627.0
2020-02-28,884.0
2020-02-29,1011.0
2020-03-01,1197.0
2020-03-02,1551.0
2020-03-03,1779.0
2020-03-04,2199.0
2020-03-05,2638.0
2020-03-06,3427.0
2020-03-07,4201.0
2020-03-08,5388.0
2020-03-09,7231.0
2020-03-10,9505.0
2020-03-11,12332.0
2020-03-12,15421.0
2020-03-13,19400.0
2020-03-14,23119.0
2020-03-15,26987.0
2020-03-16,32576.0
2020-03-17,37193.0
2020-03-18,42184.0
2020-03-19,46522.0
2020-03-20,51567.0
2020-03-21,55271.0
2020-03-22,58090.0
2020-03-23,63680.0
2020-03-24,67326.0
2020-03-25,71632.0
2020-03-26,75447.0
2020-03-27,79712.0
2020-03-28,82848.0
2020-03-29,84402.0
2020-03-30,89677.0
2020-03-31,93251.0
2020-04-01,97902.0
2020-04-02,101294.0
2020-04-03,105033.0
2020-04-04,106752.0
2020-04-05,107555.0
2020-04-06,113460.0
2020-04-07,115429.0
2020-04-08,117885.0
2020-04-09,121249.0
2020-04-10,120637.0
2020-04-11,121611.0
2020-04-12,122228.0
2020-04-13,121361.0
2020-04-14,127677.0
2020-04-15,129393.0
2020-04-16,129998.0
2020-04-17,129757.0
2020-04-18,131185.0
2020-04-19,123931.0
2020-04-20,132383.0
2020-04-21,131589.0
2020-04-22,135380.0
2020-04-23,135503.0
2020-04-24,133681.0
2020-04-25,129764.0
2020-04-26,119137.0
2020-04-27,130141.0
2020-04-28,131117.0
2020-04-29,131810.0
2020-04-30,133537.0
2020-05-01,121988.0
2020-05-02,115063.0
2020-05-03,113718.0
2020-05-04,122844.0
2020-05-05,125545.0
2020-05-06,129304.0
2020-05-07,127691.0
2020-05-08,129778.0
2020-05-09,117324.0
2020-05-10,111096.0
2020-05-11,119950.0
2020-05-12,123920.0
2020-05-13,122059.0
2020-05-14,120240.0
2020-05-15,121227.0
2020-05-16,107532.0
2020-05-17,94486.0
2020-05-18,114762.0
2020-05-19,112704.0
2020-05-20,120238.0
2020-05-21,90536.0
2020-05-22,101786.0
2020-05-23,92899.0
2020-05-24,78151.0
2020-05-25,102296.0
2020-05-26,117694.0
2020-05-27,114098.0
2020-05-28,104881.0
2020-05-29,96143.0
2020-05-30,82232.0
2020-05-31,77599.0
2020-06-01,72597.0
2020-06-02,90922.0
2020-06-03,100534.0
2020-06-04,96548.0
2020-06-05,84363.0
2020-06-06,78743.0
2020-06-07,65801.0
2020-06-08,92638.0
2020-06-09,92757.0
2020-06-10,96394.0
2020-06-11,77012.0
2020-06-12,90649.0
2020-06-13,81807.0
2020-06-14,75534.0
2020-06-15,92565.0
2020-06-16,98346.0
2020-06-17,102973.0
2020-06-18,87351.0
2020-06-19,97690.0
2020-06-20,94764.0
2020-06-21,75758.0
2020-06-22,91838.0
2020-06-23,95405.0
2020-06-24,111211.0
2020-06-25,100284.0
2020-06-26,105310.0
2020-06-27,98124.0
2020-06-28,78928.0
2020-06-29,89957.0
2020-06-30,107131.0
2020-07-01,104334.0
2020-07-02,107556.0
2020-07-03,109844.0
2020-07-04,96860.0
2020-07-05,88186.0
2020-07-06,108554.0
2020-07-07,108420.0
2020-07-08,113198.0
2020-07-09,103123.0
2020-07-10,119071.0
2020-07-11,99061.0
2020-07-12,95941.0
2020-07-13,116650.0
2020-07-14,130952.0
2020-07-15,125156.0
2020-07-16,123860.0
2020-07-17,128497.0
2020-07-18,117188.0
2020-07-19,108581.0
2020-07-20,139547.0
2020-07-21,128474.0
2020-07-22,135738.0
2020-07-23,132314.0
2020-07-24,141347.0
2020-07-25,128015.0
2020-07-26,122831.0
2020-07-27,143199.0
2020-07-28,145142.0
2020-07-29,147893.0
2020-07-30,148282.0
2020-07-31,141675.0
2020-08-01,139584.0
2020-08-02,128855.0
2020-08-03,149650.0
2020-08-04,161964.0
2020-08-05,164879.0
2020-08-06,159549.0
2020-08-07,160996.0
2020-08-08,159373.0
2020-08-09,137752.0
2020-08-10,173491.0
2020-08-11,177829.0
2020-08-12,185647.0
2020-08-13,183804.0
2020-08-14,192824.0
2020-08-15,173897.0
2020-08-16,170378.0
2020-08-17,198902.0
2020-08-18,196786.0
2020-08-19,198718.0
2020-08-20,199874.0
2020-08-21,199929.0
2020-08-22,189078.0
2020-08-23,180547.0
2020-08-24,204009.0
2020-08-25,203187.0
2020-08-26,204335.0
2020-08-27,207421.0
2020-08-28,203851.0
2020-08-29,185996.0
2020-08-30,187382.0
2020-08-31,205514.0
2020-09-01,212463.0
2020-09-02,213051.0
2020-09-03,216820.0
2020-09-04,222202.0
2020-09-05,203705.0
2020-09-06,204550.0
2020-09-07,223125.0
2020-09-08,224024.0
2020-09-09,234733.0
2020-09-10,226851.0
2020-09-11,229735.0
2020-09-12,222907.0
2020-09-13,214629.0
2020-09-14,239932.0
2020-09-15,237799.0
2020-09-16,241182.0
2020-09-17,244288.0
2020-09-18,244268.0
2020-09-19,237301.0
2020-09-20,226532.0
2020-09-21,252146.0
2020-09-22,257548.0
2020-09-23,256052.0
2020-09-24,255715.0
2020-09-25,260485.0
2020-09-26,252283.0
2020-09-27,243121.0
2020-09-28,266785.0
2020-09-29,272120.0
2020-09-30,277077.0
2020-10-01,279427.0
2020-10-02,282695.0
2020-10-03,286284.0
2020-10-04,273491.0
2020-10-05,299206.0
2020-10-06,301642.0
2020-10-07,309499.0
2020-10-08,312823.0
2020-10-09,320290.0
2020-10-10,322271.0
2020-10-11,325295.0
2020-10-12,336966.0
2020-10-13,345493.0
2020-10-14,353898.0
2020-10-15,361161.0
2020-10-16,370263.0
2020-10-17,376105.0
2020-10-18,382789.0
2020-10-19,395305.0
2020-10-20,408697.0
2020-10-21,420830.0
2020-10-22,436528.0
2020-10-23,451543.0
2020-10-24,461099.0
2020-10-25,472439.0
2020-10-26,491516.0
2020-10-27,508988.0
2020-10-28,527423.0
2020-10-29,544948.0
2020-10-30,562926.0
2020-10-31,576767.0
2020-11-01,585070.0
2020-11-02,609850.0
2020-11-03,628727.0
2020-11-04,647537.0
2020-11-05,666678.0
2020-11-06,685349.0
2020-11-07,699033.0
2020-11-08,704889.0
2020-11-09,731704.0
2020-11-10,750449.0
2020-11-11,770037.0
2020-11-12,790255.0
2020-11-13,810000.0
2020-11-14,823602.0
2020-11-15,828222.0
2020-11-16,855414.0
2020-11-17,874404.0
2020-11-18,894576.0
2020-11-19,914382.0
2020-11-20,933919.0
2020-11-21,944075.0
2020-11-22,945991.0
2020-11-23,976102.0
2020-11-24,994222.0
2020-11-25,1013057.0
2020-11-26,1031103.0
2020-11-27,1050515.0
2020-11-28,1064197.0
2020-11-29,1060991.0
2020-11-30,1094615.0
2020-12-01,1113514.0
2020-12-02,1132759.0
2020-12-03,1155351.0
2020-12-04,1176653.0
2020-12-05,1194138.0
2020-12-06,1194224.0
2020-12-07,1231243.0
2020-12-08,1255877.0
2020-12-09,1280992.0
2020-12-10,1305664.0
2020-12-11,1332010.0
2020-12-12,1346611.0
2020-12-13,1350766.0
2020-12-14,1392526.0
2020-12-15,1417627.0
2020-12-16,1444700.0
2020-12-17,1471222.0
2020-12-18,1496997.0
2020-12-19,1518435.0
2020-12-20,1525194.0
2020-12-21,1555256.0
2020-12-22,1580029.0
2020-12-23,1604363.0
2020-12-24,1619028.0
2020-12-25,1628661.0
2020-12-26,1650987.0
2020-12-27,1661955.0
2020-12-28,1686312.0
2020-12-29,1707246.0
2020-12-30,1728306.0
2020-12-31,1745898.0
2021-01-01,1747646.0
2021-01-02,1769141.0
2021-01-03,1775348.0
2021-01-04,1805226.0
2021-01-05,1826138.0
2021-01-06,1841996.0
2021-01-07,1865744.0
2021-01-08,1885122.0
2021-01-09,1899715.0
2021-01-10,1903074.0
2021-01-11,1923506.0
2021-01-12,1943980.0
2021-01-13,1962207.0
2021-01-14,1978385.0
2021-01-15,1993458.0
2021-01-16,2000579.0
2021-01-17,2003169.0
2021-01-18,2029209.0
2021-01-19,2044232.0
2021-01-20,2058998.0
2021-01-21,2073081.0
2021-01-22,2083604.0
2021-01-23,2096120.0
2021-01-24,2093904.0
2021-01-25,2113884.0
2021-01-26,2127027.0
2021-01-27,2139207.0
2021-01-28,2149704.0
2021-01-29,2160620.0
2021-01-30,2169596.0
2021-01-31,2161030.0
2021-02-01,2183448.0
2021-02-02,2195338.0
2021-02-03,2204815.0
2021-02-04,2214862.0
2021-02-05,2215621.0
2021-02-06,2220922.0
2021-02-07,2210737.0
2021-02-08,2226860.0
2021-02-09,2247368.0
2021-02-10,2255035.0
2021-02-11,2258176.0
2021-02-12,2264458.0
2021-02-13,2265304.0
2021-02-14,2254083.0
2021-02-15,2287694.0
2021-02-16,2294730.0
2021-02-17,2306120.0
2021-02-18,2313814.0
2021-02-19,2321376.0
2021-02-20,2324901.0
2021-02-21,2317904.0
2021-02-22,2330186.0
2021-02-23,2348632.0
2021-02-24,2351013.0
2021-02-25,2365311.0
2021-02-26,2377213.0
2021-02-27,2380411.0
2021-02-28,2368303.0
2021-03-01,2398715.0
2021-03-02,2407458.0
2021-03-03,2418307.0
2021-03-04,2431010.0
2021-03-05,2438268.0
2021-03-06,2439830.0
2021-03-07,2433116.0
2021-03-08,2459257.0
2021-03-09,2470367.0
2021-03-10,2489039.0
2021-03-11,2499517.0
2021-03-12,2510988.0
2021-03-13,2521796.0
2021-03-14,2514057.0
2021-03-15,2546324.0
2021-03-16,2560084.0
2021-03-17,2577605.0
2021-03-18,2590747.0
2021-03-19,2607682.0
2021-03-20,2616372.0
2021-03-21,2616791.0
2021-03-22,2640918.0
2021-03-23,2666003.0
2021-03-24,2684856.0
2021-03-25,2704031.0
2021-03-26,2722267.0
2021-03-27,2737959.0
2021-03-28,2730411.0
2021-03-29,2758932.0
2021-03-30,2782117.0
2021-03-31,2801545.0
2021-04-01,2820497.0
2021-04-02,2829237.0
2021-04-03,2844960.0
2021-04-04,2846553.0
2021-04-05,2860175.0
2021-04-06,2888753.0
2021-04-07,2908957.0
2021-04-08,2930199.0
2021-04-09,2952253.0
2021-04-10,2970678.0
2021-04-11,2981523.0
2021-04-12,2998000.0
2021-04-13,3022869.0
2021-04-14,3045780.0
2021-04-15,3066697.0
2021-04-16,3082116.0
2021-04-17,3104871.0
2021-04-18,3118791.0
2021-04-19,3137580.0
2021-04-20,3166334.0
2021-04-21,3188213.0
2021-04-22,3211416.0
2021-04-23,3232216.0
2021-04-24,3244221.0
2021-04-25,3257275.0
2021-04-26,3275925.0
2021-04-27,3298250.0
2021-04-28,3318358.0
2021-04-29,3335779.0
2021-04-30,3352801.0
2021-05-01,3359878.0
2021-05-02,3360657.0
2021-05-03,3390290.0
2021-05-04,3405596.0
2021-05-05,3425096.0
2021-05-06,3437003.0
2021-05-07,3449924.0
2021-05-08,3460507.0
2021-05-09,3448361.0
2021-05-10,3478677.0
2021-05-11,3490892.0
2021-05-12,3504298.0
2021-05-13,3496688.0
2021-05-14,3497213.0
2021-05-15,3504051.0
2021-05-16,3483533.0
2021-05-17,3530161.0
2021-05-18,3544721.0
2021-05-19,3544514.0
2021-05-20,3542761.0
2021-05-21,3542716.0
2021-05-22,3524555.0
2021-05-23,3443875.0
2021-05-24,3487665.0
2021-05-25,3525614.0
2021-05-26,3540096.0
2021-05-27,3518114.0
2021-05-28,3537466.0
2021-05-29,3505336.0
2021-05-30,3378773.0
2021-05-31,3428365.0
2021-06-01,3524167.0
2021-06-02,3490689.0
2021-06-03,3428794.0
2021-06-04,3455862.0
2021-06-05,3392778.0
2021-06-06,3158094.0
2021-06-07,3312826.0
2021-06-08,3452890.0
2021-06-09,3325657.0
2021-06-10,3329128.0
2021-06-11,3225533.0
2021-06-12,3010874.0
2021-06-13,2851171.0
2021-06-14,3117380.0
2021-06-15,3100222.0
2021-06-16,2983630.0
2021-06-17,2999862.0
2021-06-18,2832993.0
2021-06-19,2703543.0
2021-06-20,2563851.0
2021-06-21,2838314.0
2021-06-22,2936394.0
2021-06-23,2779944.0
2021-06-24,2700122.0
2021-06-25,2631074.0
2021-06-26,2552346.0
2021-06-27,2390538.0
2021-06-28,2632671.0
2021-06-29,2612064.0
2021-06-30,2818677.0
2021-07-01,2713324.0
2021-07-02,2607622.0
2021-07-03,2537364.0
2021-07-04,2527093.0
2021-07-05,2836580.0
2021-07-06,2897923.0
2021-07-07,2972417.0
2021-07-08,2952505.0
2021-07-09,2998353.0
2021-07-10,2933229.0
2021-07-11,2876710.0
2021-07-12,3110761.0
2021-07-13,3190569.0
2021-07-14,3128752.0
2021-07-15,2997237.0
2021-07-16,3218082.0
2021-07-17,3143932.0
2021-07-18,2959963.0
2021-07-19,3285117.0
2021-07-20,3250909.0
2021-07-21,3332368.0
2021-07-22,3259323.0
2021-07-23,3365633.0
2021-07-24,3204133.0
2021-07-25,3127067.0
2021-07-26,3360256.0
2021-07-27,3384415.0
2021-07-28,3396704.0
2021-07-29,3290273.0
2021-07-30,3440168.0
2021-07-31,3438058.0
2021-08-01,3278266.0
2021-08-02,3491782.0
2021-08-03,3514867.0
2021-08-04,3556631.0
2021-08-05,3516940.0
2021-08-06,3568098.0
2021-08-07,3535187.0
2021-08-08,3413951.0
2021-08-09,3573821.0
2021-08-10,3653758.0
2021-08-11,3651545.0
2021-08-12,3675746.0
2021-08-13,3675007.0
2021-08-14,3634107.0
2021-08-15,3549772.0
2021-08-16,3659970.0
2021-08-17,3710926.0
2021-08-18,3750128.0
2021-08-19,3729524.0
2021-08-20,3760852.0
2021-08-21,3747845.0
2021-08-22,3700469.0
2021-08-23,3795752.0
2021-08-24,3819397.0
2021-08-25,3825353.0
2021-08-26,3825415.0
2021-08-27,3846473.0
2021-08-28,3839979.0
2021-08-29,3767041.0
2021-08-30,3893469.0
2021-08-31,3891465.0
2021-09-01,3913867.0
2021-09-02,3918397.0
2021-09-03,3928992.0
2021-09-04,3917252.0
2021-09-05,3913821.0
2021-09-06,3961264.0
2021-09-07,3964002.0
2021-09-08,3990948.0
