Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-04-16,146181,7400,138781,0,0,0,1513
2020-04-17,148368,7529,140839,2187,129,2058,1709
2020-04-18,150027,7629,142398,1659,100,1559,1569
2020-04-19,151330,7731,143599,1303,102,1201,1454
2020-04-20,152955,7854,145101,1625,123,1502,1128
2020-04-21,154468,7955,146513,1513,101,1412,794
2020-04-22,156177,8049,148128,1709,94,1615,1171
2020-04-23,157746,8149,149597,1569,100,1469,1079
2020-04-24,159200,8217,150983,1454,68,1386,1092
2020-04-25,160328,8278,152050,1128,61,1067,1136
2020-04-26,161122,8314,152808,794,36,758,868
2020-04-27,162293,8380,153913,1171,66,1105,692
2020-04-28,163372,8445,154927,1079,65,1014,593
2020-04-29,164464,8506,155958,1092,61,1031,832
2020-04-30,165600,8565,157035,1136,59,1077,896
2020-05-01,166468,8602,157866,868,37,831,915
2020-05-02,167160,8626,158534,692,24,668,846
2020-05-03,167753,8650,159103,593,24,569,805
2020-05-04,168585,8693,159892,832,43,789,607
2020-05-05,169481,8731,160750,896,38,858,447
2020-05-06,170396,8757,161639,915,26,889,682
