Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-05-07,171242,8793,162449,0,0,0,639
2020-05-08,172047,8827,163220,805,34,771,708
2020-05-09,172654,8834,163820,607,7,600,631
2020-05-10,173101,8859,164242,447,25,422,739
2020-05-11,173783,8881,164902,682,22,660,509
2020-05-12,174422,8898,165524,639,17,622,394
2020-05-13,175130,8924,166206,708,26,682,623
2020-05-14,175761,8940,166821,631,16,615,531
2020-05-15,176500,8970,167530,739,30,709,707
2020-05-16,177009,8993,168016,509,23,486,407
2020-05-17,177403,9006,168397,394,13,381,436
2020-05-18,178026,9018,169008,623,12,611,354
2020-05-19,178557,9030,169527,531,12,519,293
2020-05-20,179264,9060,170204,707,30,677,455
2020-05-21,179671,9066,170605,407,6,401,562
2020-05-22,180107,9078,171029,436,12,424,532
2020-05-23,180461,9088,171373,354,10,344,436
2020-05-24,180754,9094,171660,293,6,287,381
2020-05-25,181209,9103,172106,455,9,446,349
2020-05-26,181771,9117,172654,562,14,548,216
2020-05-27,182303,9130,173173,532,13,519,239
2020-05-28,182739,9139,173600,436,9,427,343
2020-05-29,183120,9143,173977,381,4,377,464
2020-05-30,183469,9147,174322,349,4,345,440
2020-05-31,183685,9154,174531,216,7,209,377
2020-06-01,183924,9160,174764,239,6,233,277
2020-06-02,184267,9166,175101,343,6,337,186
2020-06-03,184731,9171,175560,464,5,459,380
