Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-06-11,187599,9211,178388,0,0,0,850
2020-06-12,187970,9226,178744,371,15,356,690
2020-06-13,188311,9229,179082,341,3,338,639
2020-06-14,188568,9232,179336,257,3,254,809
2020-06-15,188978,9236,179742,410,4,406,500
2020-06-16,189828,9242,180586,850,6,844,318
2020-06-17,190518,9248,181270,690,6,684,493
2020-06-18,191157,9249,181908,639,1,638,500
2020-06-19,191966,9254,182712,809,5,804,485
2020-06-20,192466,9261,183205,500,7,493,488
2020-06-21,192784,9265,183519,318,4,314,495
2020-06-22,193277,9268,184009,493,3,490,328
